,Player,Tm,TRB,AST,STL,BLK,PTS
1,Alex Abrines,OKC,86,40,37,8,406
2,Quincy Acy,TOT,115,18,14,15,222
3,Quincy Acy,DAL,8,0,0,0,13
4,Quincy Acy,BRK,107,18,14,15,209
5,Steven Adams,OKC,615,86,88,78,905
6,Arron Afflalo,SAC,125,78,21,7,515
7,Alexis Ajinca,NOP,177,12,20,22,207
8,Cole Aldrich,MIN,158,25,25,23,105
9,LaMarcus Aldridge,SAS,524,139,46,89,1243
10,Lavoy Allen,IND,220,57,18,24,177
11,Tony Allen,MEM,391,98,115,29,643
12,Al-Farouq Aminu,POR,451,99,60,44,532
13,Chris Andersen,CLE,31,5,5,7,28
14,Alan Anderson,LAC,24,11,3,0,86
15,Justin Anderson,TOT,245,66,41,23,532
16,Justin Anderson,DAL,149,32,28,16,329
17,Justin Anderson,PHI,96,34,13,7,203
18,Kyle Anderson,SAS,208,91,51,26,246
19,Ryan Anderson,HOU,330,68,32,14,979
20,Giannis Antetokounmpo,MIL,700,434,131,151,1832
21,Carmelo Anthony,NYK,436,213,60,34,1659
22,Joel Anthony,SAS,31,3,2,6,25
23,Trevor Ariza,HOU,459,175,147,20,936
24,Darrell Arthur,DEN,112,42,19,21,262
25,Omer Asik,NOP,163,15,5,10,85
26,D.J. Augustin,ORL,117,209,31,1,616
27,Luke Babbitt,MIA,142,36,21,11,324
28,Ron Baker,NYK,98,107,34,8,215
29,Wade Baldwin,MEM,46,61,18,7,106
30,Leandro Barbosa,PHO,104,81,31,8,419
31,J.J. Barea,DAL,84,193,14,1,381
32,Harrison Barnes,DAL,397,117,66,15,1518
33,Matt Barnes,TOT,387,194,48,26,527
34,Matt Barnes,SAC,296,149,36,17,413
35,Matt Barnes,GSW,91,45,12,9,114
36,Will Barton,DEN,258,206,48,28,820
37,Brandon Bass,LAC,129,21,14,11,292
38,Nicolas Batum,CHO,481,455,86,29,1164
39,Jerryd Bayless,PHI,12,13,0,0,33
40,Aron Baynes,DET,333,32,17,39,365
41,Kent Bazemore,ATL,231,177,91,52,801
42,Bradley Beal,WAS,239,267,83,21,1779
43,Malik Beasley,DEN,17,11,7,0,83
44,Michael Beasley,MIL,193,53,28,27,528
45,Marco Belinelli,CHO,178,147,44,9,780
46,DeAndre' Bembry,ATL,59,28,8,5,101
47,Dragan Bender,PHO,103,23,10,22,146
48,Anthony Bennett,BRK,78,12,5,3,115
49,Ben Bentil,DAL,2,0,0,0,0
50,Davis Bertans,SAS,99,46,20,28,303
51,Patrick Beverley,HOU,394,281,99,25,639
52,Bismack Biyombo,ORL,567,74,25,91,483
53,Nemanja Bjelica,MIN,244,79,40,20,403
54,Tarik Black,LAL,342,39,30,44,383
55,Eric Bledsoe,PHO,320,418,92,31,1390
56,Bojan Bogdanovic,TOT,277,111,34,7,1113
57,Bojan Bogdanovic,BRK,197,90,24,3,783
58,Bojan Bogdanovic,WAS,80,21,10,4,330
59,Andrew Bogut,TOT,218,49,13,25,79
60,Andrew Bogut,DAL,218,49,13,25,79
61,Andrew Bogut,CLE,0,0,0,0,0
62,Joel Bolomboy,UTA,17,2,1,2,22
63,Devin Booker,PHO,249,268,72,21,1726
64,Trevor Booker,BRK,570,138,76,28,709
65,Avery Bradley,BOS,334,121,68,11,894
66,Corey Brewer,TOT,166,97,61,19,371
67,Corey Brewer,HOU,114,61,37,11,242
68,Corey Brewer,LAL,52,36,24,8,129
69,Malcolm Brogdon,MIL,213,317,84,12,767
70,Aaron Brooks,IND,69,125,25,9,322
71,Anthony Brown,TOT,33,8,5,1,43
72,Anthony Brown,NOP,26,6,5,1,34
73,Anthony Brown,ORL,7,2,0,0,9
74,Bobby Brown,HOU,6,14,1,0,62
75,Jaylen Brown,BOS,220,64,35,18,515
76,Nicolas Brussino,DAL,95,47,17,8,150
77,Reggie Bullock,DET,64,29,18,3,141
78,Trey Burke,WAS,47,100,11,5,285
79,Alec Burks,UTA,120,30,18,5,283
80,Jimmy Butler,CHI,470,417,143,32,1816
81,Bruno Caboclo,TOR,10,4,2,1,14
82,Jose Calderon,TOT,74,88,11,1,141
83,Jose Calderon,LAL,42,51,7,1,80
84,Jose Calderon,ATL,32,37,4,0,61
85,Kentavious Caldwell-Pope,DET,248,193,89,12,1047
86,Isaiah Canaan,CHI,49,37,22,1,181
87,Clint Capela,HOU,526,64,34,80,818
88,DeMarre Carroll,TOR,275,74,81,27,638
89,Vince Carter,MEM,227,133,60,36,586
90,Michael Carter-Williams,CHI,152,113,38,23,297
91,Omri Casspi,TOT,112,37,23,3,186
92,Omri Casspi,SAC,90,26,10,1,129
93,Omri Casspi,NOP,2,0,0,0,12
94,Omri Casspi,MIN,20,11,13,2,45
95,Willie Cauley-Stein,SAC,340,80,53,45,611
96,Tyson Chandler,PHO,539,30,33,24,397
97,Wilson Chandler,DEN,459,141,52,30,1117
98,Marquese Chriss,PHO,348,60,67,70,753
99,Rakeem Christmas,IND,56,4,3,6,59
100,Semaj Christon,OKC,88,130,28,6,183
101,Ian Clark,GSW,122,90,39,8,527
102,Jordan Clarkson,LAL,246,213,88,8,1205
103,Norris Cole,OKC,11,14,8,0,43
